variables="Moisture Content","Relative Hydraulic Conductivity"
zone t="Observed" 
  0.112579133287646       4.259955377371579E-004 
  0.128051905796670       1.381296370359895E-003 
  0.139313733888681       2.336597202982647E-003 
  0.156843014136246       3.585836753335454E-003 
  0.167321410708813       4.982045662553318E-003 
  0.178289451981032       6.525223930636209E-003 
  0.188474061733808       8.288856237016657E-003 
  0.201400681804638       1.159566681147999E-002 
  0.223728480108799       1.813580328097414E-002 
  0.241257760356364       2.526184082535692E-002 
  0.250756867529626       2.849714308095927E-002 
  0.263780578517673       3.437286306013201E-002 
  0.276025167817374       4.043885266160071E-002 
  0.290294539710039       4.820585987316076E-002 
  0.304911571311210       6.009555523694227E-002 
  0.312452099685861       6.582736023267871E-002 
  0.336542618908772       8.618261643548637E-002 
  0.351525746718143       0.100438644245395      
  0.365921300887932       0.115870426926224      
  0.371306793996458       0.121867693080546      
  0.376791413220221       0.129244638582942      
  0.380008702134271       0.133009335968002      
  0.384774058434925       0.140174451550958      
  0.390073474639038       0.148811955759708      
  0.395006196047300       0.159593811188572      
  0.398735875991793       0.172516783792981      
  0.400196429863618       0.184137694119034      
  0.400392287743479       0.190604345909095      
  0.400490216683409       0.197291451737454      
zone t="Fitted" 
  9.514778198001088E-002  7.199342554672271E-004 
  0.111501914948410       8.669036143322697E-004 
  0.127366403217156       1.822204446955006E-003 
  0.145189470284513       3.144928676740342E-003 
  0.161249816433120       5.055530341985831E-003 
  0.173784720744228       6.672193289501235E-003 
  0.194349798129640       1.027294258169466E-002 
  0.218342388412620       1.519641610367340E-002 
  0.236753029119560       2.100170577884237E-002 
  0.251344441169209       2.599866398025364E-002 
  0.264722516047470       3.185084730171083E-002 
  0.273476381593509       3.613954974194121E-002 
  0.286011285904618       4.275317089086787E-002 
  0.293649743219199       4.723573633625152E-002 
  0.304813642371280       5.495162767666597E-002 
  0.314214820604611       6.200615690218775E-002 
  0.322832567318498       6.928114016600710E-002 
  0.329883450993496       7.538036855890613E-002 
  0.339872202866410       8.537428496172866E-002 
  0.351036102018491       9.823410386241942E-002 
  0.357205625234114       0.106537872638294      
  0.364256508909113       0.116311335002819      
  0.368173666506334       0.121528747242528      
  0.374049402902166       0.131890087042513      
  0.380218926117789       0.142839304277958      
  0.386024388323231       0.155568773215499      
  0.391186967390009       0.168926365476502      
  0.394418622407716       0.183035423927546      
