TITLE     = ""
VARIABLES = "X" 
"Y"
"Cell Elevation"
ZONE T="ZONE 001"
 STRANDID=0, SOLUTIONTIME=0
 I=1610, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE SINGLE )
3.952300549E+000 8.572500229E+000 3.890599966E+000 
3.233700275E+000 8.572500229E+000 3.890599966E+000 
2.515100002E+000 8.572500229E+000 3.923899889E+000 
1.796499610E+000 8.572500229E+000 3.912400007E+000 
1.077900290E+000 8.572500229E+000 3.912400007E+000 
3.592990935E-001 8.572500229E+000 3.910000086E+000 
1.616850090E+001 9.715499878E+000 4.169799805E+000 
1.544989967E+001 9.715499878E+000 4.169799805E+000 
1.473130035E+001 9.715499878E+000 4.191100121E+000 
1.401270008E+001 9.715499878E+000 3.822999954E+000 
1.329409981E+001 9.715499878E+000 3.553999901E+000 
1.257549953E+001 9.715499878E+000 3.333600044E+000 
1.185690022E+001 9.715499878E+000 3.177099943E+000 
1.113829994E+001 9.715499878E+000 3.100699902E+000 
1.041969967E+001 9.715499878E+000 3.019999981E+000 
9.701099396E+000 9.715499878E+000 3.122499943E+000 
8.982500076E+000 9.715499878E+000 3.474800110E+000 
8.263899803E+000 9.715499878E+000 3.736399889E+000 
7.545300007E+000 9.715499878E+000 3.779900074E+000 
6.826699734E+000 9.715499878E+000 3.779900074E+000 
6.108100414E+000 9.715499878E+000 3.913300037E+000 
5.389500141E+000 9.715499878E+000 3.913300037E+000 
4.670899868E+000 9.715499878E+000 3.922100067E+000 
3.952300549E+000 9.715499878E+000 3.890599966E+000 
3.233700275E+000 9.715499878E+000 3.890599966E+000 
2.515100002E+000 9.715499878E+000 3.898900032E+000 
1.796499610E+000 9.715499878E+000 3.899399996E+000 
1.077900290E+000 9.715499878E+000 3.888299942E+000 
3.592990935E-001 9.715499878E+000 3.887799978E+000 
1.616850090E+001 1.085849953E+001 4.322100163E+000 
1.544989967E+001 1.085849953E+001 4.169799805E+000 
1.473130035E+001 1.085849953E+001 3.822999954E+000 
1.401270008E+001 1.085849953E+001 3.822999954E+000 
1.329409981E+001 1.085849953E+001 3.471600056E+000 
1.257549953E+001 1.085849953E+001 3.264600039E+000 
1.185690022E+001 1.085849953E+001 3.160399914E+000 
1.113829994E+001 1.085849953E+001 3.127599955E+000 
1.041969967E+001 1.085849953E+001 3.019999981E+000 
9.701099396E+000 1.085849953E+001 3.091000080E+000 
8.982500076E+000 1.085849953E+001 3.395200014E+000 
8.263899803E+000 1.085849953E+001 3.589200020E+000 
7.545300007E+000 1.085849953E+001 3.589200020E+000 
6.826699734E+000 1.085849953E+001 3.779900074E+000 
6.108100414E+000 1.085849953E+001 3.854000092E+000 
5.389500141E+000 1.085849953E+001 3.913300037E+000 
4.670899868E+000 1.085849953E+001 3.913300037E+000 
3.952300549E+000 1.085849953E+001 3.913300037E+000 
3.233700275E+000 1.085849953E+001 3.871599913E+000 
2.515100002E+000 1.085849953E+001 3.871599913E+000 
1.796499610E+000 1.085849953E+001 3.883599997E+000 
1.077900290E+000 1.085849953E+001 3.883599997E+000 
3.592990935E-001 1.085849953E+001 3.879499912E+000 
1.616850090E+001 1.200150013E+001 4.058700085E+000 
1.544989967E+001 1.200150013E+001 4.058700085E+000 
1.473130035E+001 1.200150013E+001 3.775799990E+000 
1.401270008E+001 1.200150013E+001 3.775799990E+000 
1.329409981E+001 1.200150013E+001 3.471600056E+000 
1.257549953E+001 1.200150013E+001 3.232700109E+000 
1.185690022E+001 1.200150013E+001 3.108999968E+000 
1.113829994E+001 1.200150013E+001 3.065999985E+000 
1.041969967E+001 1.200150013E+001 3.019999981E+000 
9.701099396E+000 1.200150013E+001 3.065500021E+000 
8.982500076E+000 1.200150013E+001 3.168800116E+000 
8.263899803E+000 1.200150013E+001 3.279000044E+000 
7.545300007E+000 1.200150013E+001 3.683599949E+000 
6.826699734E+000 1.200150013E+001 3.683599949E+000 
6.108100414E+000 1.200150013E+001 3.854000092E+000 
5.389500141E+000 1.200150013E+001 3.885999918E+000 
4.670899868E+000 1.200150013E+001 3.885999918E+000 
3.952300549E+000 1.200150013E+001 3.892899990E+000 
3.233700275E+000 1.200150013E+001 3.892899990E+000 
2.515100002E+000 1.200150013E+001 3.871599913E+000 
1.796499610E+000 1.200150013E+001 3.872100115E+000 
1.077900290E+000 1.200150013E+001 3.864200115E+000 
3.592990935E-001 1.200150013E+001 3.864200115E+000 
1.616850090E+001 1.314449978E+001 4.206799984E+000 
1.544989967E+001 1.314449978E+001 4.021599770E+000 
1.473130035E+001 1.314449978E+001 3.752599955E+000 
1.401270008E+001 1.314449978E+001 3.752599955E+000 
1.329409981E+001 1.314449978E+001 3.425699949E+000 
1.257549953E+001 1.314449978E+001 3.210400105E+000 
1.185690022E+001 1.314449978E+001 3.210400105E+000 
1.113829994E+001 1.314449978E+001 3.082200050E+000 
