"SWF ID","Material Name","Length Unit","Time Unit","Manning's coefficient","Depression storage height","Obstruction storage height","SWF Depth for smoothing (SWFH1)","SWF Depth for smoothing (SWFH2)"
1,"Streambed","METERS","SECONDS",0.03000000,0.1000000,0.0000000,0.000001000,0.000001000
2,"Grass","METERS","SECONDS",0.3000000,0.1000000,0.0000000,0.000001000,0.000001000
3,"Panday slope","METERS","SECONDS",0.01500000,0.01000000,0.0000000,0.000001000,0.000001000
4,"Panday channel","METERS","SECONDS",0.1500000,0.01000000,0.0000000,0.000001000,0.000001000
5,"3_SWF","METERS","SECONDS",0.05480000,0.1000000,0.0000000,0.000001000,0.000001000
