ET ID,ET Name,Evaporation Depth,Root depth,LAI table,c1,c2,c3,Wilting Point,Field Capacity,Oxic limit,Anoxic limit,Evaporation minimum,Evaporation maximum,Canopy Storage Parameter,Initial Interception Storage,Length Unit,Time Unit,Notes
1,Panday,3,3,LAI_Table.csv,0.3,0.2,10,0.2,0.32,0.76,0.9,0.2,0.32,0,0,METERS,SECONDS,This is based on the HGS verification example Panday
2,Default ET (grass),0.2,0.2,LAI_Table_default.csv,0.5,0,1,0.05,0.2,0.6,0.8,0.5,0.1,1.5,1.5,METERS,SECONDS,HGS Default properties for interception and evapotranspiration.
