SMS ID,SMS Name,OUTER ITERATION CONVERGENCE CRITERION (HCLOSE),INNER ITERATION CONVERGENCE CRITERION (HICLOSE),MAXIMUM NUMBER OF OUTER ITERATIONS (MXITER),MAXIMUM NUMBER OF INNER ITERATIONS (ITER1),SOLVER PRINTOUT INDEX             (IPRSMS),NONLINEAR ITERATION METHOD    (NONLINMETH),LINEAR SOLUTION METHOD           (LINMETH),D-B-D WEIGHT REDUCTION FACTOR      (THETA),D-B-D WEIGHT INCREASE INCREMENT    (KAPPA),D-B-D PREVIOUS HISTORY FACTOR      (GAMMA),MOMENTUM TERM                  (AMOMENTUM),MAXIMUM NUMBER OF BACKTRACKS    (NUMTRACK),BACKTRACKING TOLERANCE FACTOR       (BTOL),BACKTRACKING REDUCTION FACTOR     (BREDUC),BACKTRACKING RESIDUAL LIMIT      (RES_LIM),TRUNCATED NEWTON FLAG     (ITRUNCNEWTON) ,Options,ACCELERATION METHOD  (IACL),EQUATION ORDERING FLAG  (NORDER),LEVEL OF FILL  (LEVEL),MAXIMUM NUMBER OF ORTHOGONALIZATIONS  (NORTH),INDEX FOR USING REDUCED SYSTEM (IREDSYS),RESIDUAL REDUCTION CONVERGE CRITERION  (RRCTOL),INDEX FOR USING DROP TOLERANCE (IDROPTOL),DROP TOLERANCE VALUE (EPSRN),Length Unit,Notes
1,Default,0.001,0.00001,250,600,1,1,1,0.7,0.1,0.1,0,200,1,0.2,1,0,SOLVEACTIVE      DAMPBOT,1,0,7,14,0,0,1,0.001,METERS,
2,YJ 3_SWF,0.001,0.00001,20,600,1,1,1,0.7,0.07,0.1,0,200,1.1,0.2,1,0,SOLVEACTIVE      DAMPBOT,2,0,2,14,0,0,1,0.001,METERS,
